"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2021","1,901.05","1,914.56","1,915.49","1,890.63","","-0.73%"
"08/05/2021","1,915.12","1,894.44","1,915.51","1,893.59","","1.07%"
"08/04/2021","1,894.93","1,892.88","1,900.76","1,890.14","","0.06%"
"08/03/2021","1,893.82","1,892.56","1,897.76","1,881.97","","-0.02%"
"08/02/2021","1,894.12","1,890.52","1,904.07","1,890.30","","0.56%"
"07/30/2021","1,883.54","1,883.30","1,892.26","1,872.22","","-0.14%"
"07/29/2021","1,886.22","1,883.68","1,896.07","1,881.55","","0.45%"
"07/28/2021","1,877.70","1,852.89","1,883.02","1,850.76","","1.12%"
"07/27/2021","1,856.94","1,870.71","1,874.94","1,840.13","","-0.73%"
"07/26/2021","1,870.52","1,878.51","1,879.45","1,867.41","","-0.35%"
"07/23/2021","1,877.00","1,862.78","1,877.65","1,862.07","","0.78%"
"07/22/2021","1,862.56","1,861.63","1,871.43","1,855.98","","0.15%"
"07/21/2021","1,859.75","1,839.80","1,860.68","1,838.41","","1.19%"
"07/20/2021","1,837.80","1,810.52","1,845.68","1,808.12","","1.33%"
"07/19/2021","1,813.60","1,818.00","1,818.93","1,790.38","","-0.59%"
"07/16/2021","1,824.39","1,837.27","1,845.11","1,822.30","","-0.79%"
"07/15/2021","1,838.89","1,855.56","1,856.14","1,827.05","","-1.07%"
"07/14/2021","1,858.84","1,872.85","1,885.62","1,858.76","","-0.84%"
"07/13/2021","1,874.67","1,887.28","1,889.22","1,871.60","","-0.56%"
"07/12/2021","1,885.19","1,899.99","1,901.68","1,881.56","","-0.41%"
"07/09/2021","1,893.00","1,867.92","1,894.46","1,865.79","","0.94%"
"07/08/2021","1,875.32","1,886.96","1,887.83","1,848.42","","-0.77%"
"07/07/2021","1,889.82","1,901.34","1,909.75","1,877.04","","-0.68%"
"07/06/2021","1,902.82","1,901.59","1,903.74","1,889.07","","0.14%"
"07/05/2021","1,900.25","1,899.65","1,900.89","1,897.87","","0.06%"
"07/02/2021","1,899.08","1,897.93","1,910.61","1,895.20","","0.13%"
"07/01/2021","1,896.69","1,900.62","1,903.45","1,888.18","","-0.36%"
"06/30/2021","1,903.58","1,926.84","1,927.40","1,899.54","","-1.20%"
"06/29/2021","1,926.79","1,927.72","1,929.25","1,918.85","","-0.21%"
"06/28/2021","1,930.94","1,917.32","1,932.32","1,915.25","","0.66%"
"06/25/2021","1,918.20","1,914.89","1,924.22","1,910.79","","0.36%"
"06/24/2021","1,911.35","1,898.86","1,918.20","1,898.19","","0.46%"
"06/23/2021","1,902.53","1,896.90","1,910.96","1,895.56","","0.39%"
"06/22/2021","1,895.18","1,880.36","1,897.18","1,877.49","","1.21%"
"06/21/2021","1,872.57","1,862.17","1,877.34","1,852.26","","0.07%"
"06/18/2021","1,871.24","1,891.36","1,893.48","1,865.84","","-1.09%"
"06/17/2021","1,891.84","1,880.99","1,894.15","1,870.51","","0.10%"
"06/16/2021","1,889.99","1,892.88","1,897.35","1,870.38","","-0.35%"
"06/15/2021","1,896.58","1,907.60","1,911.11","1,893.24","","-0.50%"
"06/14/2021","1,906.09","1,894.86","1,908.11","1,894.44","","0.65%"
"06/11/2021","1,893.75","1,884.21","1,893.75","1,883.34","","0.65%"
"06/10/2021","1,881.52","1,872.85","1,884.53","1,867.81","","0.43%"
"06/09/2021","1,873.40","1,887.96","1,892.55","1,872.60","","-0.84%"
"06/08/2021","1,889.19","1,880.06","1,895.72","1,874.66","","0.44%"
"06/07/2021","1,880.97","1,867.51","1,882.06","1,865.07","","0.69%"
"06/04/2021","1,868.00","1,849.96","1,873.60","1,848.89","","0.95%"
"06/03/2021","1,850.44","1,861.07","1,871.34","1,841.42","","-0.43%"
"06/02/2021","1,858.37","1,841.02","1,860.25","1,836.56","","1.03%"
"06/01/2021","1,839.47","1,829.48","1,847.05","1,828.06","","0.57%"
"05/31/2021","1,828.98","1,829.57","1,832.25","1,828.45","","-0.22%"
"05/28/2021","1,833.06","1,830.65","1,850.44","1,829.54","","0.40%"
"05/27/2021","1,825.72","1,816.19","1,827.60","1,810.76","","0.40%"
"05/26/2021","1,818.41","1,803.73","1,821.23","1,802.89","","0.80%"
"05/25/2021","1,803.91","1,799.19","1,811.82","1,799.00","","0.38%"
"05/24/2021","1,797.17","1,785.41","1,802.06","1,783.75","","0.65%"
"05/21/2021","1,785.55","1,784.01","1,801.00","1,782.82","","0.33%"
"05/20/2021","1,779.69","1,749.45","1,782.75","1,748.45","","1.67%"
"05/19/2021","1,750.47","1,759.40","1,759.63","1,728.27","","-0.44%"
"05/18/2021","1,758.12","1,748.91","1,773.12","1,748.35","","0.82%"
"05/17/2021","1,743.76","1,752.74","1,756.76","1,735.74","","-0.67%"
"05/14/2021","1,755.56","1,720.99","1,759.71","1,719.32","","2.29%"
"05/13/2021","1,716.23","1,714.76","1,735.19","1,704.28","","-0.19%"
"05/12/2021","1,719.45","1,757.20","1,767.31","1,716.23","","-2.48%"
"05/11/2021","1,763.18","1,761.14","1,766.17","1,724.71","","-0.52%"
"05/10/2021","1,772.46","1,807.95","1,808.61","1,772.00","","-1.80%"
"05/07/2021","1,804.98","1,788.12","1,816.73","1,787.76","","1.02%"
"05/06/2021","1,786.69","1,795.64","1,796.77","1,772.27","","-0.45%"
"05/05/2021","1,794.82","1,789.70","1,806.03","1,788.23","","0.26%"
"05/04/2021","1,790.19","1,827.23","1,828.03","1,774.56","","-2.18%"
"05/03/2021","1,830.02","1,843.67","1,853.71","1,829.04","","-0.82%"
"04/30/2021","1,845.20","1,874.45","1,875.03","1,841.65","","-1.53%"
"04/29/2021","1,873.85","1,893.13","1,898.87","1,864.55","","-0.90%"
"04/28/2021","1,890.95","1,901.50","1,902.20","1,886.29","","-0.66%"
"04/27/2021","1,903.55","1,920.10","1,920.69","1,900.26","","-0.84%"
"04/26/2021","1,919.68","1,899.25","1,921.11","1,897.20","","1.42%"
"04/23/2021","1,892.76","1,871.81","1,897.88","1,870.15","","1.05%"
"04/22/2021","1,873.15","1,874.45","1,889.99","1,866.87","","0.34%"
"04/21/2021","1,866.84","1,839.72","1,867.56","1,830.63","","0.93%"
"04/20/2021","1,849.61","1,877.57","1,878.03","1,841.96","","-1.66%"
"04/19/2021","1,880.80","1,900.22","1,905.57","1,872.38","","-0.94%"
"04/16/2021","1,898.68","1,899.16","1,902.48","1,891.99","","-0.04%"
