time,low,high,open,close,volume
2020-11-21,83.236,96.69,83.325,94.998,30307.72985581
2020-11-22,85.661,95.625,94.92,90.526,23735.18804971
2020-11-23,89.392,95.533,90.821,94.353,24885.81759376
2020-11-24,92.751,123.875,94.365,114.456,110413.24117468
2020-11-25,98.055,116.384,114.456,102.2,42262.2074725
2020-11-26,85.008,104.207,102.19,92.067,50629.26119354
2020-11-27,87.0,95.901,92.146,92.236,20450.98141827
2020-11-28,90.98,114.915,92.236,109.2,49916.80066196
2020-11-29,104.132,115.178,109.209,108.184,60027.0508854
2020-11-30,106.892,118.226,108.366,112.714,34190.51003233
2020-12-01,101.457,115.968,112.52,103.69,28098.12179657
2020-12-02,100.658,107.85,103.783,105.25,18079.12664299
2020-12-03,103.92,108.58,105.533,107.391,12231.38390352
2020-12-04,97.322,110.973,107.565,98.6,19512.6909111
2020-12-05,96.637,103.65,98.6,103.025,11583.51048454
2020-12-06,99.213,104.709,103.212,102.074,7915.96946858
2020-12-07,100.378,104.475,102.077,101.498,7746.98780032
2020-12-08,93.423,101.815,101.564,94.913,11447.754711
2020-12-09,88.634,96.238,94.883,95.791,13649.97713473
2020-12-10,90.808,96.142,95.821,92.779,6104.61166533
2020-12-11,87.75,95.15,92.951,93.098,11959.59246798
2020-12-12,92.91,97.426,93.343,94.823,8902.45354352
2020-12-13,93.752,99.816,94.971,97.55,9829.77732779
2020-12-14,94.275,97.699,97.162,96.82,6575.13914801
2020-12-15,94.18,97.843,96.86,97.019,7583.96959803
2020-12-16,94.648,105.62,97.019,105.6,14401.79884984
2020-12-17,101.28,115.88,105.592,108.251,28266.65843596
2020-12-18,103.905,113.944,108.424,108.201,15664.25259318
2020-12-19,105.708,112.824,108.2,108.318,15853.83808766
2020-12-20,104.4,114.586,108.31,109.333,22694.57035639
2020-12-21,101.979,120.435,109.105,103.983,33456.12968755
2020-12-22,96.167,106.619,103.91,105.811,18482.82764212
2020-12-23,86.787,106.327,106.003,91.297,38194.32229774
2020-12-24,87.18,99.761,91.065,98.592,20660.80807841
2020-12-25,95.801,105.194,98.578,103.016,21398.95780315
2020-12-26,102.123,112.53,103.144,107.689,26308.46216062
